category,fact
Animals,A group of flamingos is called a flamboyance.
Animals,Crows can recognize individual human faces.
Animals,Elephants can communicate using low-frequency sounds over long distances.
Animals,Koalas sleep for much of the day because eucalyptus leaves provide limited energy.
Animals,Mantis shrimp can detect types of light humans cannot see.
Animals,Sea otters often hold hands while resting so they do not drift apart.
Archaeology,Buried artifacts often survive because soil limits exposure to oxygen and weather.
Archaeology,Pompeii was preserved by volcanic ash from the eruption of Mount Vesuvius in AD 79.
Archaeology,Stonehenge was built in several phases over many centuries.
Archaeology,The Rosetta Stone helped scholars decipher Egyptian hieroglyphs.
Astronomy,A day on Venus is longer than a year on Venus.
Astronomy,A year on Mercury is just 88 Earth days.
Astronomy,A year on Mercury lasts only 88 Earth days.
Astronomy,Earth completes one orbit around the Sun in 365 days.
Astronomy,Earth completes one orbit around the Sun in about 365 days.
Astronomy,Jupiter completes one orbit around the Sun in about 11.86 Earth years.
Astronomy,Jupiter has the shortest day of any planet in the Solar System at about 10 hours.
Astronomy,Jupiter has the shortest day of any planet in the Solar System.
Astronomy,Light from the Sun takes about 8 minutes to reach Earth.
Astronomy,Mars completes one orbit around the Sun in 687 Earth days.
Astronomy,Mars completes one orbit around the Sun in about 687 Earth days.
Astronomy,Mercury completes one orbit around the Sun in 88 Earth days.
Astronomy,Mercury completes one orbit around the Sun in about 88 Earth days.
Astronomy,Neptune completes one orbit around the Sun in about 165 Earth years.
Astronomy,Neptune was discovered through mathematical prediction before it was directly observed.
Astronomy,Neptune was the first planet discovered through mathematical prediction before direct observation.
Astronomy,Olympus Mons on Mars is the tallest volcano known in the Solar System.
Astronomy,Saturn completes one orbit around the Sun in about 29.5 Earth years.
Astronomy,Saturn could float in water because its average density is less than water.
Astronomy,Saturn s rings are made mostly of ice particles and rocky debris.
Astronomy,The Milky Way contains hundreds of billions of stars.
Astronomy,The Milky Way galaxy is estimated to contain hundreds of billions of stars.
Astronomy,The Moon moves away from Earth by about 3.8 centimeters per year.
Astronomy,The Moon moves away from Earth by roughly 3.8 centimetres every year.
Astronomy,The observable universe is estimated to be about 93 billion light years in diameter.
Astronomy,The Sun contains about 99.86 percent of the mass of the entire Solar System.
Astronomy,The Sun contains the vast majority of the mass in the Solar System.
Astronomy,Uranus completes one orbit around the Sun in about 84 Earth years.
Astronomy,Venus completes one orbit around the Sun in 225 Earth days.
Astronomy,Venus completes one orbit around the Sun in about 225 Earth days.
Biology,A blue whale’s heart can weigh as much as a small car.
Biology,A single strand of spider silk is exceptionally strong for its weight.
Biology,DNA in a single human cell is about 2 meters long when stretched.
Biology,DNA in a single human cell would measure about two metres if stretched out.
Biology,"Human blood contains red cells, white cells, and platelets."
Biology,"Human bones are stronger, ounce for ounce, than steel."
Biology,Human DNA is organized into 23 chromosome pairs.
Biology,Human lungs contain millions of tiny air sacs called alveoli.
Biology,Human skin is the body’s largest organ.
Biology,Human skin is the largest organ in the human body.
Biology,Humans have five basic senses traditionally listed in biology.
Biology,Humans share a large percentage of their DNA with chimpanzees.
Biology,Octopuses have three hearts and blue blood due to copper-based hemocyanin.
Biology,Octopuses have three hearts and blue blood.
Biology,Photosynthesis converts light energy into chemical energy.
Biology,Photosynthesis converts sunlight into chemical energy in plants.
Biology,Red blood cells do not have a nucleus when fully mature in humans.
Biology,Red blood cells in humans lack a nucleus when mature.
Biology,Some bacteria can survive in environments with intense radiation.
Biology,Some fungi form underground networks that span several kilometers.
Biology,Some jellyfish species can revert to earlier life stages under certain conditions.
Biology,Some species of jellyfish are biologically capable of reverting to an earlier life stage.
Biology,Tardigrades can survive extreme environments including the vacuum of space.
Biology,Tardigrades can survive the vacuum of space.
Biology,The adult human skeleton contains 206 bones.
Biology,The African elephant is the largest land animal.
Biology,The Bats are the only mammals capable of sustained flight.
Biology,The Blue whale is the largest animal known to have lived on Earth.
Biology,The brain consumes about 20 percent of the body's energy.
Biology,The Cheetah is the fastest land animal.
Biology,The Dolphins are highly intelligent marine mammals.
Biology,The Giraffe has the longest neck of any living animal.
Biology,The human body hosts trillions of microorganisms.
Biology,The human brain contains about 86 billion neurons.
Biology,The human brain contains roughly 86 billion neurons.
Biology,The human eye can distinguish millions of different colors.
Biology,"The human heart typically beats over 100,000 times per day."
Biology,The Kangaroo moves primarily by hopping.
Biology,The liver is the largest internal organ in the human body.
Biology,The Octopus has three hearts.
Biology,The Penguins are flightless birds adapted to life in water.
Biology,The Peregrine falcon is the fastest bird during its hunting dive.
Biology,The retina contains photoreceptor cells called rods and cones.
Biology,The small intestine is several meters long in adults.
Biology,Trees can exchange chemical signals through underground fungal networks.
Biology,Whales are mammals and must breathe air.
Biology,Whales are mammals and must surface to breathe air.
Chemistry,Acids and bases can neutralize each other in chemical reactions.
Chemistry,Actinium has atomic number 89 in the periodic table.
Chemistry,Actinium is element number 89 in the periodic table.
Chemistry,Aluminium has atomic number 13 in the periodic table.
Chemistry,Aluminium is element number 13 in the periodic table.
Chemistry,Americium has atomic number 95 in the periodic table.
Chemistry,Americium is element number 95 in the periodic table.
Chemistry,Antimony has atomic number 51 in the periodic table.
Chemistry,Antimony is element number 51 in the periodic table.
Chemistry,Argon has atomic number 18 in the periodic table.
Chemistry,Argon is element number 18 in the periodic table.
Chemistry,Arsenic has atomic number 33 in the periodic table.
Chemistry,Arsenic is element number 33 in the periodic table.
Chemistry,Astatine has atomic number 85 in the periodic table.
Chemistry,Astatine is element number 85 in the periodic table.
Chemistry,Bananas are naturally radioactive due to potassium-40.
Chemistry,Barium has atomic number 56 in the periodic table.
Chemistry,Barium is element number 56 in the periodic table.
Chemistry,Berkelium has atomic number 97 in the periodic table.
Chemistry,Berkelium is element number 97 in the periodic table.
Chemistry,Beryllium has atomic number 4 in the periodic table.
Chemistry,Beryllium is element number 4 in the periodic table.
Chemistry,Bismuth has atomic number 83 in the periodic table.
Chemistry,Bismuth is element number 83 in the periodic table.
Chemistry,Bohrium has atomic number 107 in the periodic table.
Chemistry,Bohrium is element number 107 in the periodic table.
Chemistry,Boron has atomic number 5 in the periodic table.
Chemistry,Boron is element number 5 in the periodic table.
Chemistry,Bromine has atomic number 35 in the periodic table.
Chemistry,Bromine is element number 35 in the periodic table.
Chemistry,Cadmium has atomic number 48 in the periodic table.
Chemistry,Cadmium is element number 48 in the periodic table.
Chemistry,Caesium has atomic number 55 in the periodic table.
Chemistry,Caesium is element number 55 in the periodic table.
Chemistry,Calcium has atomic number 20 in the periodic table.
Chemistry,Calcium is element number 20 in the periodic table.
Chemistry,Californium has atomic number 98 in the periodic table.
Chemistry,Californium is element number 98 in the periodic table.
Chemistry,Carbon has atomic number 6 in the periodic table.
Chemistry,Carbon is element number 6 in the periodic table.
Chemistry,Cerium has atomic number 58 in the periodic table.
Chemistry,Cerium is element number 58 in the periodic table.
Chemistry,Chlorine has atomic number 17 in the periodic table.
Chemistry,Chlorine is element number 17 in the periodic table.
Chemistry,Chromium has atomic number 24 in the periodic table.
Chemistry,Chromium is element number 24 in the periodic table.
Chemistry,Cobalt has atomic number 27 in the periodic table.
Chemistry,Cobalt is element number 27 in the periodic table.
Chemistry,Copernicium has atomic number 112 in the periodic table.
Chemistry,Copernicium is element number 112 in the periodic table.
Chemistry,Copper has atomic number 29 in the periodic table.
Chemistry,Copper is element number 29 in the periodic table.
Chemistry,Curium has atomic number 96 in the periodic table.
Chemistry,Curium is element number 96 in the periodic table.
Chemistry,Darmstadtium has atomic number 110 in the periodic table.
Chemistry,Darmstadtium is element number 110 in the periodic table.
Chemistry,Diamond and graphite are both composed entirely of carbon atoms.
Chemistry,Diamond and graphite are both made entirely of carbon.
Chemistry,Dubnium has atomic number 105 in the periodic table.
Chemistry,Dubnium is element number 105 in the periodic table.
Chemistry,Dysprosium has atomic number 66 in the periodic table.
Chemistry,Dysprosium is element number 66 in the periodic table.
Chemistry,Einsteinium has atomic number 99 in the periodic table.
Chemistry,Einsteinium is element number 99 in the periodic table.
Chemistry,Erbium has atomic number 68 in the periodic table.
Chemistry,Erbium is element number 68 in the periodic table.
Chemistry,Europium has atomic number 63 in the periodic table.
Chemistry,Europium is element number 63 in the periodic table.
Chemistry,Fermium has atomic number 100 in the periodic table.
Chemistry,Fermium is element number 100 in the periodic table.
Chemistry,Flerovium has atomic number 114 in the periodic table.
Chemistry,Flerovium is element number 114 in the periodic table.
Chemistry,Fluorine has atomic number 9 in the periodic table.
Chemistry,Fluorine is element number 9 in the periodic table.
Chemistry,Francium has atomic number 87 in the periodic table.
Chemistry,Francium is element number 87 in the periodic table.
Chemistry,Gadolinium has atomic number 64 in the periodic table.
Chemistry,Gadolinium is element number 64 in the periodic table.
Chemistry,Gallium has atomic number 31 in the periodic table.
Chemistry,Gallium is element number 31 in the periodic table.
Chemistry,Germanium has atomic number 32 in the periodic table.
Chemistry,Germanium is element number 32 in the periodic table.
Chemistry,Gold has atomic number 79 in the periodic table.
Chemistry,Gold is element number 79 in the periodic table.
Chemistry,Gold is highly resistant to corrosion and does not rust.
Chemistry,Gold is so chemically unreactive that it does not rust.
Chemistry,Hafnium has atomic number 72 in the periodic table.
Chemistry,Hafnium is element number 72 in the periodic table.
Chemistry,Hassium has atomic number 108 in the periodic table.
